,Tag,count
420462,symphonic metal,2274
108815,Surf,2216
254743,hardstyle,2214
83900,Nu-Bluz Funky Grooves in the E-Lounge,2172
105844,Soundtracks,2165
145120,atmospheric black metal,2154
196332,deep,2145
346963,orchestral,2135
271517,instrumental hip-hop,2131
341153,nu-jazz,2130
5046,80's,2124
245537,good,2119
98457,Russia,2115
111294,Technical Death Metal,2092
130616,african,2091
3918,50s,2078
241062,genius,2075
45862,Gangsta Rap,2073
90762,Post-Metal,2057
84807,Oi,2051
144000,asciiecho,2046
7653,Acid,2032
146195,australia,2026
331742,neofolk,2022
83928,Nu-metal,2009
374683,rapcore,2000
411144,spoken word,1992
409660,spain,1991
49093,Grind,1990
301323,los angeles,1982
184485,contemporary jazz,1978
177582,chiptune,1976
154506,belgian,1974
49077,Grime,1966
176246,chicago,1959
332175,netherlands,1959
459673,world fusion,1951
384593,roots,1934
16641,Belgium,1929
83446,Norway,1928
430945,the vitamin b12,1922
206858,drum'n'bass,1919
39547,Eurovision,1917
246448,goregrind,1911
37602,Electroclash,1908
239069,game,1888
318187,minimalism,1883
390417,saxophone,1877
225028,favourite,1876
41503,Favourites,1871
358465,poland,1862
228263,finland,1860
178651,christian rock,1852
4954,8-bit,1840
68237,Library,1835
186495,cover,1825
312934,melodic black metal,1821
442228,twee,1821
95899,Retro,1813
243871,glam rock,1809
413862,stoner metal,1806
226026,female fronted,1792
15229,Ballad,1791
310142,mathcore,1786
403697,smooth,1786
230516,folk metal,1782
423795,tech-house,1782
19848,Bossa Nova,1780
298456,liquid funk,1761
213798,electronic-lounge,1760
357969,podcast,1758
3983,5432fun,1751
403014,sludge metal,1748
192430,danish,1745
400828,ska punk,1744
253458,happy,1740
313197,melodic metalcore,1733
2032,2000s,1728
319930,modern classical,1724
16971,Berlin,1717
106020,Southern Rock,1710
220226,everything,1701
278791,jazzy,1692
425969,texas,1690
250009,groove metal,1689
77404,Mondiovision,1684
438997,tribal,1676
128303,abstract hip-hop,1670
119481,Ukrainian,1670
28676,Czech,1662
256632,heavy,1662
409226,space,1645
323072,mpb,1645
282435,jrock,1643
368845,psychobilly,1639
151560,baroque,1636
270375,industrial rock,1633
161412,bluegrass,1633
406489,songwriter,1627
175672,check,1625
414661,street punk,1621
313272,melodic punk,1620
365891,prog,1618
253548,happy hardcore,1614
434793,to listen,1611
325982,musical,1607
45923,Garage Punk,1606
341119,nu-bluz,1606
254509,hardcore techno,1605
198674,detroit,1605
101327,Scottish,1599
230796,folk-rock,1592
313347,melodic trance,1579
408390,soundscape,1577
212954,electro-industrial,1574
135111,alternative pop,1574
251321,guitar virtuoso,1572
362673,post-grunge,1571
14401,BIRP,1570
320146,modern rock,1567
206682,drum &amp; bass,1556
434683,to check out,1555
450826,violin,1552
187456,creative commons,1551
225866,female artists,1544
451670,vocal house,1544
197865,depressive black metal,1542
107731,Straight Edge,1539
135150,alternative rap,1539
59630,Jazz Rock,1532
332337,neurofunk,1530
315581,mexico,1527
311725,medieval,1526
205095,download,1522
175714,check later,1518
130580,africa,1517
366331,progressive death metal,1514
48831,Greek,1510
195399,death,1508
344168,old school death metal,1506
65087,Korean,1503
313288,melodic rock,1498
213055,electroacoustic,1498
41398,Favorite Artists,1495
50939,Hard Trance,1494
157219,beyondwithin,1493
189646,cute,1484
455152,weird,1484
2254,2010s,1483
290537,krautrock,1483
365776,producer,1468
346561,opera,1462
295621,legend,1461
33778,Discoverockult,1457
332552,new,1452
262173,hot,1449
18519,Blackened Death Metal,1447
263468,humor,1445
177236,chillwave,1440
81364,Neo-Soul,1438
39499,Europe,1435
195899,deathgrind,1430
424439,techstep,1430
451685,vocal jazz,1428
209618,east coast rap,1426
141948,argentina,1423
384643,roots reggae,1420
18173,Black,1417
16,&lt;3,1400
243828,glam,1392
337255,noisecore,1391
410904,spiritual,1386
332186,netlabel,1379
271623,instrumental rock,1378
45781,Game Music,1376
373449,ragga,1374
420349,symphonic,1372
104018,Skinhead,1369
391831,score,1364
193809,darkpsy,1360
74486,Meditation,1360
215727,emotional,1359
318095,minimal synth,1357
337156,noise pop,1352
56204,Indian,1347
267830,improvisation,1346
238169,futurepop,1336
459971,worship,1336
135018,alternative hip-hop,1336
92557,Punk-Rock,1333
359449,polskie,1331
7055,AOR,1330
214245,elektro,1328
263501,humour,1327
59612,Jazz Hop,1327
349619,pagan metal,1325
358190,poetry,1324
450054,video game,1322
119971,United Kingdom,1320
418128,surf rock,1311
372381,r and b,1308
47596,Goa Trance,1307
