artist_id	counts
53835	913
2550	891
15153	789
2389	778
72988	731
3097	707
84002	656
15457	625
15207	579
54830	563
103468	541
54931	536
15448	533
84562	532
49737	530
103437	528
84471	522
49896	520
158871	504
62868	503
4559	502
45126	495
8744	494
54845	485
45208	472
73263	448
49736	433
15231	428
117712	423
15589	414
43578	405
15514	402
54907	392
212443	387
15672	376
18834	370
54829	369
72912	362
42426	362
18705	357
2441	354
15211	351
49768	346
52061	341
28370	333
73020	331
99762	330
44925	328
93218	325
56083	323
45202	322
73529	321
54991	320
73100	320
45128	318
46095	316
38152	312
73180	312
75679	309
55045	305
73281	304
42792	302
73321	299
96677	296
5223	293
32296	291
96723	290
44939	290
93952	289
73282	282
96655	277
73133	274
3124	270
44956	269
203671	261
66935	258
44185	257
15323	255
15384	254
104391	252
18044	250
28616	242
78841	241
73234	240
72704	239
73324	239
28213	235
16566	234
44957	228
73540	228
73167	227
8717	223
84522	223
9667	221
73483	221
45340	221
16991	220
16536	220
40150	219
91991	218
5426	211
50179	211
45199	210
4116	209
49747	209
40001	206
36273	205
73259	203
44903	202
14553	201
190175	200
7030	198
96662	197
92164	197
8739	196
98342	193
54679	193
187957	192
55004	191
152798	190
15141	190
25038	190
67875	186
46017	186
6787	186
15463	184
103441	184
21100	184
55052	183
8689	182
94814	181
15084	181
15107	180
84175	179
27239	179
73028	178
800075	178
10855	177
1859	176
85172	172
56142	172
1631	170
84159	168
12364	168
45051	168
19783	167
634116	166
3082	166
117988	166
45602	165
122225	164
18235	163
120628	163
15408	163
73019	162
5043	161
33909	161
72902	161
124012	158
103457	158
18380	157
55169	157
144538	156
28611	156
51045	155
78237	153
146944	152
45280	152
15345	150
44908	148
246333	148
25203	148
54745	146
54691	145
103492	145
3054	145
96639	145
26287	144
262214	143
50351	143
44902	143
461679	143
2541	143
85989	142
54909	142
43316	141
51845	141
74076	141
15139	140
10631	140
29187	140
10468	139
151831	139
84717	139
68131	138
18337	138
104393	138
79008	137
109468	137
85600	137
