artist_id	counts
10630	237
51148	139
140182	135
43516	122
30237	122
196198	113
275744	111
3622	88
5313	86
342134	86
12224	84
133531	81
33755	78
7840	78
146614	74
354213	73
17026	73
81100	73
147637	71
30235	69
222190	68
79941	66
45132	66
152828	65
222157	63
10513	62
157653	62
10946	62
7821	60
60852	59
4939	59
64692	58
95514	58
11986	57
10269	57
17646	57
14817	56
3627	55
275816	55
62807	55
447123	54
222151	54
85455	54
856884	54
222122	54
222882	53
74363	53
4468	53
67420	53
15491	52
13313	51
230867	51
37929	51
60362	50
95515	50
384114	49
85306	49
31215	49
12484	48
303497	48
29929	48
23391	48
12812	47
22202	46
39616	46
106959	46
294893	46
73391	45
3602	45
138745	45
189639	45
8282	45
108045	44
153390	44
10702	44
275880	44
78820	44
276128	44
115869	43
39153	43
29139	43
856886	43
11824	43
83822	43
42436	42
276302	42
6258	42
153071	42
40764	42
21555	42
203336	42
104006	41
17625	41
354341	41
95152	40
110556	40
17614	40
5761	40
7574	40
94265	40
4774	39
160760	39
85304	39
31605	39
42302	39
153198	39
286913	39
65022	39
275822	38
84048	38
146933	38
4418	38
18700	38
66154	38
18516	37
36751	37
18157	37
5674	37
46854	37
276251	36
276127	36
7503	36
133403	36
12210	36
67155	36
509122	36
221060	35
39130	35
160769	35
205059	35
101110	35
834920	35
210576	35
109407	35
30797	34
7099	34
869556	34
266307	34
4013	34
73092	34
2686	34
41172	34
18811	34
91638	33
55486	33
7521	33
276335	33
21605	33
11247	33
107477	33
31363	33
31457	33
3873	33
93208	33
18402	33
63751	33
83477	33
16226	32
6839	32
157465	32
14856	32
276171	32
222081	32
18544	32
104232	31
190885	31
124005	31
32173	31
18299	31
276144	31
4805	31
9203	31
44803	30
9732	30
222123	30
269282	30
114232	30
136112	30
489524	30
24448	30
65951	30
46677	30
12229	29
266406	29
125539	29
222304	29
221896	29
222077	29
74802	29
15598	29
36358	29
222305	29
38447	29
222841	29
12716	29
12727	29
51443	28
5167	28
347187	28
163320	28
