artist_id	counts
800598	339
23297	243
38584	231
134237	223
32308	197
42077	186
597	181
104098	181
38811	170
1014	148
100439	148
409241	147
250909	141
81314	130
10370	128
2430	125
38915	122
38613	115
12592	115
36179	114
217215	101
414272	100
790	97
931	96
19728	93
394841	92
75389	89
199376	88
38745	86
389063	86
683	85
100892	84
99573	84
20792	81
186317	80
98512	77
176001	77
124224	77
383756	76
51799	76
196628	76
25126	74
175965	74
186239	73
86140	73
489130	73
6935	73
303946	70
24877	70
20737	68
217391	68
195697	68
137433	67
52301	66
788096	66
281571	65
36897	64
38609	63
800663	63
13283	63
27816	62
303875	62
330649	61
309844	61
116665	60
7983	60
800678	60
268879	59
26129	59
72404	59
52808	58
175971	58
232215	57
210848	57
95807	57
88649	57
8632	56
26149	56
20398	56
77287	55
34281	55
168963	55
75718	52
38598	52
96178	51
144884	51
145101	51
183903	50
175959	49
921127	49
26553	49
187611	49
54494	49
27286	49
3052	48
7159	48
51687	48
836939	48
51705	47
9887	47
42768	47
168671	47
103414	46
13145	46
38611	46
32719	46
427362	46
121205	46
148117	46
15936	46
91908	45
21749	44
8636	44
3874	44
27767	44
38487	44
21419	44
61035	43
9180	43
239914	43
202261	43
971	43
26897	43
14014	42
414287	42
38574	42
7899	42
57181	41
87420	41
27062	41
38626	41
24589	41
81	41
49364	40
36310	40
56649	40
20175	40
15797	39
989	39
2107	39
49701	39
24438	39
204054	39
295152	39
127853	38
215594	38
1434	38
103913	38
115377	38
122411	38
99145	38
50925	38
185967	37
32993	37
86064	37
116740	37
99852	36
58127	36
98291	36
705342	36
43315	36
38767	35
224963	35
156466	35
15567	35
970562	35
676436	35
50637	35
57250	35
23471	35
8461	35
550586	35
95458	34
377223	34
38627	34
835500	34
28626	34
28327	34
98110	34
213853	34
27745	34
50446	34
291656	34
8936	33
1310	33
122451	33
81794	33
91931	33
18914	33
135768	32
17675	32
150654	32
72620	32
12380	32
198854	32
76711	32
64265	32
699	32
26885	32
100661	32
