artist_id	counts
29404	1102
67761	1076
22747	1063
85582	1056
89614	1056
22804	1055
20751	1014
21030	1003
22835	1002
70540	998
29147	991
29108	990
20813	977
9374	953
22060	950
19680	924
119265	895
21943	884
22830	881
22841	875
19209	872
7953	866
24288	860
5267	858
70506	845
19197	803
29127	783
19193	774
22840	772
21478	764
48702	756
19132	746
5684	716
29086	697
13312	686
216107	683
29455	680
11404	672
70686	664
32067	653
3597	628
19779	623
29396	620
28533	611
112229	611
29221	606
69372	604
22734	593
19204	587
19641	586
29136	583
20129	578
69370	566
84156	561
22820	551
101422	551
130353	547
23022	545
94560	545
70631	536
19332	534
19926	533
22857	529
30912	526
22774	526
29209	515
65733	505
22746	497
19446	494
129540	494
85583	493
166135	491
22984	488
29395	486
130385	485
150394	484
85293	480
29410	464
19207	454
119285	454
183759	453
23055	437
4342	433
85510	430
21596	429
14696	427
12121	422
132997	417
89587	416
22891	415
9372	415
103956	413
140441	412
19203	412
5235	411
97631	410
31793	410
29329	405
58017	405
29264	404
19206	403
68376	400
19956	399
29618	396
85677	395
29544	393
29614	390
109485	389
124102	387
57255	384
58002	381
88417	381
11771	379
29154	377
22995	373
67755	369
134273	369
22853	368
85543	362
19195	359
19345	357
109807	355
21549	354
19200	353
70488	353
29301	351
101390	346
70915	345
101428	341
11595	340
36084	339
22927	336
19196	336
69193	335
89950	334
6148	331
146588	329
59126	328
5246	326
12153	325
18557	325
116609	324
67749	321
59633	321
13717	315
21560	314
70441	314
7262	312
96858	311
20231	310
53063	310
19679	309
19129	305
7157	304
19508	304
22892	300
89553	299
67772	296
47199	294
70974	292
22432	292
19712	291
11593	287
147956	284
70468	284
19321	284
22999	283
162368	282
133569	282
87755	282
22843	281
24148	280
21501	279
27152	278
70858	278
119496	276
132886	274
49244	274
226985	274
3465	274
29052	273
22992	272
97168	272
24163	271
89836	271
29516	269
87750	267
132892	266
106508	265
19615	264
26720	263
131714	263
19192	262
16012	260
201566	260
68381	255
97577	254
43763	254
22933	254
218779	254
