artist_id	counts
52742	559
36141	481
81894	461
85308	416
35826	402
25969	372
36138	356
36142	346
100419	320
36143	319
81738	300
6000	290
100486	283
100678	253
1259	249
108080	244
64947	240
144588	224
45640	223
124960	223
81546	221
78880	209
52998	205
81975	203
91534	201
48576	201
18097	194
81663	190
122429	181
117360	180
151867	178
25952	176
136880	174
3210	172
59566	171
57025	171
60489	165
108102	157
81904	156
109166	155
81378	154
100440	153
81768	152
134944	150
81542	149
33323	147
81756	147
124251	145
81370	144
81611	140
81767	138
16291	136
144589	134
42766	131
144587	127
83062	125
82430	125
1022904	124
22834	123
1058410	123
100436	121
81905	120
100586	120
81373	118
108078	118
145867	117
6836	112
34659	112
119602	111
144934	110
136879	109
144774	107
150334	107
52783	106
81640	106
81897	106
88410	105
3225	104
59303	101
141866	100
100420	99
81286	98
10943	98
831974	98
789781	96
81409	96
94132	92
93252	90
185461	90
550945	90
144939	89
81404	89
11707	89
81269	88
41134	88
125530	87
52789	87
89900	85
30761	84
56650	84
117893	82
68390	82
3337	81
26798	79
117566	79
29698	79
185448	78
20452	78
137353	78
100417	77
117319	77
157189	77
204240	77
13055	77
118613	76
122430	76
145303	75
153864	74
88479	74
198281	74
43027	72
144778	72
60703	71
145097	70
54867	70
695	70
117905	70
17067	70
364301	68
124340	68
30702	68
433168	68
31543	68
50947	67
118143	67
41829	67
81901	66
42858	66
3815	65
81790	65
45686	65
44797	65
52791	64
185482	63
36018	63
155320	63
52788	63
10917	63
229382	63
3215	63
76508	63
100430	63
117190	63
81903	62
9777	62
186258	62
260716	62
23351	62
16657	61
11396	61
215890	61
185425	61
100575	60
82151	60
96962	60
96725	60
28535	59
551051	59
57645	59
122443	59
169059	59
145331	59
81367	59
39431	58
43781	58
23660	58
85309	57
144705	57
202399	57
10774	57
184263	57
10759	57
212635	57
79157	57
5237	57
3207	56
3303	56
8675	56
100593	56
232230	56
44582	55
283657	55
81313	55
52264	54
130313	54
81406	54
314996	54
20418	54
202037	54
145786	53
