artist_id	counts
75233	864
115554	822
77578	675
149983	662
46461	651
9611	610
27102	598
81504	582
67094	574
22515	555
27473	522
43593	506
2256	485
9538	481
18171	465
43271	457
29003	454
67105	448
3810	433
1764	432
27446	431
5731	420
10139	408
77717	404
23785	393
42530	388
4123	387
1533	386
27907	385
252602	381
12561	380
27130	380
10353	378
29640	378
36412	374
9822	374
29693	372
49203	372
5752	371
4041	370
75015	370
5482	367
25429	367
9532	366
28727	365
96744	360
50802	360
19962	360
36812	357
43759	356
18228	355
45198	352
24082	349
41046	348
4686	348
45145	345
23187	343
10696	343
40457	339
27435	339
24488	337
12119	337
12310	336
1693	335
20916	334
59122	334
45263	331
45974	327
19682	326
80438	324
2661	319
46670	318
12409	318
3029	318
9657	317
4421	317
16686	314
9502	314
22288	314
1546	313
73210	312
19819	311
18674	310
26289	309
32768	308
28709	308
38755	308
32210	307
90660	304
9828	303
120116	302
137919	302
654	301
41291	301
40344	300
9700	300
48575	300
14629	299
42663	299
9479	298
37452	297
1441	297
9476	296
162589	296
2779	295
56556	294
110120	293
165512	292
17000	286
4120	285
47384	285
19352	284
2662	282
1813	281
10291	281
9480	279
10369	278
32131	278
40522	276
29514	275
31389	275
44684	272
54213	271
9584	270
41098	270
1663	270
16118	269
16768	269
28120	267
62191	267
17318	267
9666	266
14729	266
4042	264
15579	264
46801	263
3034	263
21364	263
28337	262
38696	262
38268	261
42340	261
10701	261
1675	261
41313	260
52732	260
26635	258
32218	258
1544	258
12429	257
15711	257
10216	257
43371	256
27353	256
4604	253
5750	252
5518	251
26587	251
12304	251
37619	250
45671	250
3884	249
65730	249
161390	249
65562	249
3003	247
12263	247
104785	246
59197	246
10693	246
4895	245
33096	245
45562	244
4461	242
9723	241
79751	241
5898	240
4160	239
9864	238
15471	238
9762	238
4897	237
10270	237
28726	237
19021	236
15875	236
23581	236
2650	236
26866	236
42124	235
36827	234
10032	232
11789	232
40579	232
41520	232
12655	232
58170	231
15994	231
4306	231
17033	230
