artist_id	counts
22566	626
40612	517
39272	485
238856	454
32948	428
4347	393
39818	392
40565	371
17327	366
36228	348
39322	322
39273	318
39242	316
56666	306
39305	304
33058	297
40563	286
36173	265
39456	259
40426	234
7417	227
39794	225
40406	216
39457	216
39334	212
39319	211
7051	196
36094	193
39270	184
36282	183
39202	180
22664	180
39351	179
226568	179
56749	176
40912	173
133382	172
308831	172
39299	171
40030	170
36104	169
36337	166
39759	164
39846	164
39196	162
39361	160
17319	160
15526	160
39257	157
68626	157
22741	154
15920	149
39600	149
86135	148
17322	144
40208	144
39522	141
41066	138
63411	137
3993	137
17329	136
245434	132
40967	132
17323	131
5269	129
39179	127
10722	124
36103	121
38375	121
40969	117
39278	112
18532	112
36276	110
39480	108
39502	108
39518	108
8969	107
27303	106
40552	106
4625	105
83718	105
39255	101
32762	101
9562	101
56747	98
6041	98
31786	97
134045	96
39787	96
26038	95
4018	94
39733	94
36233	94
134046	93
39350	93
19368	93
39786	91
130524	90
39998	89
197520	89
74531	88
60376	88
22562	86
25079	85
39812	85
40168	85
36154	85
130554	84
20684	84
122514	83
47389	82
4052	82
39271	82
17324	81
235	81
39324	79
2695	76
6830	76
20165	76
286609	76
31548	75
130362	75
85936	75
22379	74
39827	74
281333	74
72357	73
765432	73
33003	72
39414	72
67801	71
8460	71
83998	71
56442	71
245407	71
476245	70
40945	70
39298	70
14807	70
30903	69
40838	69
4831	69
25706	68
40526	67
4441	67
5798	65
40231	65
373347	65
443579	64
17328	64
20540	64
40851	64
116269	63
39653	63
34383	63
226854	63
49502	63
134104	63
10721	62
39184	62
69073	62
75981	62
49878	62
22458	62
39673	61
36690	61
9289	61
39297	61
3883	60
3898	60
14680	60
39288	60
27891	60
10071	60
15495	60
14352	59
39230	59
39819	59
443569	59
86136	59
45360	58
134082	58
72456	58
6832	58
3833	57
100944	57
8623	57
153075	56
78468	56
39824	56
40094	56
7924	56
16755	56
281329	56
48594	55
40090	55
17761	55
9068	55
72195	55
8449	55
