artist_id	counts
39396	1092
119112	1035
43820	1018
32237	966
43491	961
16153	949
13822	921
4379	901
2801	899
16177	898
3799	889
6754	874
3853	831
29459	813
6752	803
91092	802
36567	798
98121	790
29706	770
43580	759
43340	745
5206	726
43608	725
90502	725
4358	725
29064	725
99921	719
29695	717
5566	708
51444	702
62380	696
103384	690
20794	689
36389	683
52858	679
4352	658
40781	647
52915	646
53076	644
6102	643
9239	641
6938	639
16036	634
155057	632
100565	632
5455	626
4357	623
74579	618
3549	616
80168	614
91590	612
53470	609
6427	606
16157	605
16241	604
67835	596
47134	586
39364	581
45715	578
65545	576
112984	574
54169	570
75275	570
74582	564
43287	564
12646	559
53875	556
4380	555
3858	553
904	545
44413	545
89140	536
45725	531
15343	529
36890	524
3777	520
39598	514
12208	512
100450	509
3789	508
58230	505
55108	503
15194	503
40749	498
89082	497
43551	492
23190	482
46847	480
48790	479
112428	479
33382	478
44486	477
96048	476
112607	476
4354	472
90957	462
51461	458
50838	458
2736	457
66860	455
16204	455
91587	455
47570	455
7254	444
57972	442
43623	442
44281	442
14789	440
46382	439
11299	439
43531	436
67736	434
75091	430
135347	428
5944	426
64001	426
39597	424
4199	423
5500	422
65461	420
108359	418
40676	417
86708	414
81130	413
10111	413
53529	413
43546	410
103382	410
62909	409
53300	408
53509	408
4892	407
62727	407
86730	406
16099	405
36836	405
77310	404
36565	404
22817	404
97611	403
43690	402
27331	402
40062	402
4351	401
50926	401
6560	398
32421	397
5252	395
8686	393
8529	393
28651	391
4350	391
9273	391
40031	390
17368	389
41324	388
43809	386
16172	385
4447	383
112415	380
50861	377
78860	377
28541	377
97451	376
4386	376
16368	372
12511	372
16181	372
40051	370
18658	367
8537	366
8961	365
89264	364
3379	364
75511	364
64626	363
17207	361
39567	361
52809	359
16040	358
55321	357
16507	356
43644	356
210001	355
53315	355
17508	355
10085	354
61147	354
4359	354
4401	352
135320	352
5168	352
10742	350
14820	348
98518	348
46471	347
43544	345
29033	343
43297	342
16043	342
